code,start_date,end_date
sh.688082,2022-09-19,2022-11-07
sh.603729,2021-04-21,2021-06-08
sz.002647,2022-04-18,2022-06-02
sh.600107,2024-06-26,2024-08-07
sz.300091,2024-06-12,2024-07-24
sh.601872,2021-01-25,2021-03-15
sh.688680,2024-03-20,2024-05-08
sz.002949,2023-05-08,2023-06-19
sz.000698,2023-01-04,2023-02-22
sz.300739,2024-01-17,2024-03-07
sz.300093,2024-01-24,2024-03-14
sz.002329,2021-01-20,2021-03-10
sz.301011,2021-09-08,2021-10-29
sz.002802,2024-05-24,2024-07-08
sz.301129,2024-06-03,2024-07-16
sz.000590,2021-01-20,2021-03-10
sh.603985,2024-01-18,2024-03-08
sz.300375,2023-10-27,2023-12-08
sz.300629,2024-01-19,2024-03-11
sz.300501,2022-09-09,2022-10-31
sh.605358,2023-04-21,2023-06-07
sh.603530,2024-01-22,2024-03-12
sh.600980,2022-04-12,2022-05-27
sz.000545,2024-01-22,2024-03-12
sh.603585,2024-01-16,2024-03-06
sh.600338,2022-04-11,2022-05-26
sh.603158,2022-06-28,2022-08-09
sh.603322,2022-08-11,2022-09-23
sz.000718,2021-07-20,2021-08-31
sz.301178,2024-01-23,2024-03-13
sh.603615,2024-04-01,2024-05-20
sz.002146,2023-08-29,2023-10-18
sz.002068,2024-06-12,2024-07-24
sz.002622,2024-05-22,2024-07-04
sz.000007,2021-07-20,2021-08-31
sh.688630,2023-04-19,2023-06-05
sz.000650,2021-06-01,2021-07-14
sz.301075,2024-01-18,2024-03-08
sz.003032,2022-04-13,2022-05-30
sh.603655,2021-09-28,2021-11-16
sz.300062,2022-08-19,2022-10-10
sz.300609,2024-01-30,2024-03-20
sz.300467,2022-02-23,2022-04-08
sh.688603,2024-01-03,2024-02-22
sz.002869,2023-11-29,2024-01-11
sh.688355,2022-02-24,2022-04-11
sz.001287,2023-06-13,2023-07-27
sh.603879,2023-08-23,2023-10-12
sz.002292,2023-04-13,2023-05-30
sh.688525,2023-12-18,2024-01-30
sz.300921,2024-01-29,2024-03-19
sz.002185,2023-04-17,2023-06-01
sh.688620,2024-04-02,2024-05-21
sh.600243,2021-09-15,2021-11-05
sz.002006,2024-01-22,2024-03-12
sh.603800,2024-01-24,2024-03-14
sz.002213,2022-02-08,2022-03-22
sz.002289,2023-04-19,2023-06-06
sz.301209,2024-05-22,2024-07-04
sz.300400,2024-01-30,2024-03-20
sz.002996,2024-01-26,2024-03-18
sz.300597,2024-01-23,2024-03-13
sh.601127,2021-12-20,2022-02-08
sz.300690,2022-04-11,2022-05-26
sz.300462,2024-01-18,2024-03-08
sh.600340,2021-01-28,2021-04-01
sz.001215,2024-08-08,2024-09-23
sz.301022,2023-08-14,2023-09-25
sh.600792,2021-10-26,2021-12-07
sh.601798,2021-04-19,2021-06-03
sz.300550,2024-01-19,2024-03-11
sz.002878,2022-03-04,2022-04-19
sh.688001,2023-05-30,2023-07-13
sh.605378,2021-07-08,2021-08-19
sz.301112,2024-01-17,2024-03-07
sh.688268,2022-09-19,2022-11-07
sz.002949,2024-01-26,2024-03-18
sz.301012,2024-01-17,2024-03-07
sz.002664,2024-01-18,2024-03-08
sz.002855,2024-01-15,2024-03-05
sz.301019,2024-01-19,2024-03-11
sh.600178,2023-12-28,2024-02-19
sh.601702,2021-09-22,2021-11-10
sh.603755,2021-08-12,2021-09-27
sz.301367,2023-04-27,2023-06-13
sz.002800,2023-04-25,2023-06-12
sh.603717,2023-04-03,2023-05-19
