code,start_date,end_date
sh.688031,2023-12-12,2024-01-24
sz.300919,2021-12-23,2022-02-11
sz.000633,2024-04-10,2024-05-27
sz.300306,2022-03-23,2022-05-11
sz.300465,2022-04-06,2022-05-23
sz.301151,2024-05-22,2024-07-04
sz.002838,2021-01-22,2021-03-12
sz.002292,2022-04-19,2022-06-06
sh.603061,2023-04-21,2023-06-07
sz.301448,2024-01-29,2024-03-19
sz.301365,2024-01-18,2024-03-08
sh.600734,2024-06-18,2024-07-30
sz.300233,2022-01-14,2022-03-04
sh.688365,2021-03-01,2021-04-13
sh.688503,2024-11-08,2024-12-20
sz.002558,2022-01-13,2022-03-03
sz.002095,2022-12-27,2023-02-15
sh.603229,2022-07-15,2022-08-26
sh.688006,2022-04-06,2022-05-23
sz.002919,2022-04-14,2022-05-31
sh.688085,2021-07-21,2021-09-01
sz.300037,2021-07-12,2021-08-23
sz.001300,2024-01-18,2024-03-08
sz.300272,2021-01-18,2021-03-08
sz.300990,2022-02-28,2022-04-13
sz.002799,2024-01-26,2024-03-18
sh.688499,2023-04-27,2023-06-13
sz.300320,2022-03-30,2022-05-18
sz.301062,2024-01-26,2024-03-18
sh.600501,2022-04-13,2022-05-30
sh.688256,2023-04-20,2023-06-06
sh.603007,2022-09-20,2022-11-08
sh.603997,2022-01-17,2022-03-07
sz.300503,2022-03-01,2022-04-14
sz.002686,2022-01-13,2022-03-03
sh.688105,2022-12-14,2023-02-02
sh.600287,2024-01-26,2024-03-18
sz.300350,2021-07-16,2021-08-27
sz.002909,2024-01-26,2024-03-18
sh.601015,2021-03-10,2021-04-22
sz.300641,2024-01-24,2024-03-14
sh.688433,2024-01-22,2024-03-12
sz.002629,2022-03-02,2022-04-15
sh.603580,2023-04-26,2023-06-12
sz.300159,2024-05-21,2024-07-03
sh.600640,2022-01-18,2022-03-08
sz.002992,2023-07-12,2023-08-23
sz.002165,2022-04-13,2022-05-30
sh.688080,2022-04-12,2022-05-27
sz.300203,2022-04-14,2022-05-31
sh.601236,2022-04-19,2022-06-06
sz.000829,2021-07-14,2021-08-25
sz.001378,2024-04-11,2024-05-28
sh.688130,2023-04-11,2023-05-26
sh.600129,2023-10-09,2023-11-20
sz.002480,2024-05-23,2024-07-05
sh.600223,2021-06-01,2021-07-14
sh.601012,2023-08-09,2023-09-20
sh.688037,2021-12-08,2022-01-20
sh.688502,2023-12-22,2024-02-05
sh.605366,2024-04-09,2024-05-24
sz.300877,2024-01-26,2024-03-18
sh.688071,2022-01-18,2022-03-08
sz.300477,2021-09-24,2021-11-12
sz.300421,2022-01-10,2022-02-28
sz.002842,2021-09-17,2021-11-09
sh.600191,2022-05-30,2022-07-12
sh.605108,2022-04-19,2022-06-06
sz.301270,2023-06-19,2023-08-02
sz.002331,2021-07-09,2021-08-20
sz.002748,2021-09-16,2021-11-08
sz.300600,2021-08-18,2021-10-08
sz.300378,2024-03-29,2024-05-17
sz.300951,2024-01-04,2024-02-23
sz.002168,2021-01-20,2021-03-11
sh.600630,2024-01-18,2024-03-08
sh.688258,2024-03-22,2024-05-10
sz.300567,2024-03-25,2024-05-13
sz.300311,2023-04-14,2023-05-31
sh.603618,2022-04-12,2022-05-27
sz.002146,2023-06-15,2023-07-31
sz.300669,2021-03-30,2021-05-17
sz.301398,2024-04-01,2024-05-20
sh.600893,2021-03-03,2021-04-15
sh.603518,2021-07-05,2021-08-16
sh.688153,2022-12-15,2023-02-03
sz.300235,2022-04-07,2022-05-24
sh.600667,2022-08-18,2022-09-30
sz.002326,2022-03-30,2022-05-18
sz.003029,2024-05-23,2024-07-05
sz.000031,2022-04-06,2022-05-23
sz.002957,2022-04-11,2022-05-26
sz.300759,2021-02-10,2021-03-31
sz.000059,2021-09-13,2021-11-03
sz.000430,2022-04-15,2022-06-01
sh.688002,2024-03-26,2024-05-14
sh.603948,2024-01-25,2024-03-15
sz.002903,2024-01-04,2024-02-23
sh.603713,2022-10-17,2022-11-28
sz.002660,2023-12-29,2024-02-20
sh.600593,2021-07-27,2021-09-07
sz.002905,2023-09-28,2023-11-17
